timestamp,Title,Original Price,Discounted Price,Shipping Details,url
2025-11-09 22:52:50,N/A,N/A,$769.99,N/A,N/A
2025-11-09 22:52:50,Acer Aspire 14 +AI Intel Core Ultra 5 226V 2.1GHz 16GB 1TB Refurbished,$579.99,$482.49,N/A,https://www.ebay.com/itm/256960845305?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006407
2025-11-09 22:53:00,N/A,N/A,$482.49,N/A,N/A
2025-11-09 22:53:00,"HP EliteBook 845 G8 Laptop AMD Ryzen 5 PRO 5650U 16GB RAM 256 GB SSD 14.0"" W11P",$354.99,$304.99,N/A,https://www.ebay.com/itm/388696431750?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006407
2025-11-09 22:53:10,N/A,N/A,$304.99,N/A,N/A
2025-11-09 22:53:10,NEBULA Anker Capsule 3 Laser Smart Projector 1080P Portable for Home/Outdoor,$799.99,$499.99,N/A,https://www.ebay.com/itm/385887562764?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006409
2025-11-09 22:53:20,N/A,N/A,$499.99,N/A,N/A
2025-11-09 22:53:20,"Bose Smart Ultra Soundbar Home Theater, Certified Refurbished",N/A,$874.00,N/A,https://www.ebay.com/itm/166821183075?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006409
2025-11-09 22:53:21,N/A,N/A,$874.00,N/A,N/A
2025-11-09 22:53:21,NEBULA Cosmos 4K SE Smart Projector Dolby Vision 1800 ANSI LM HybridBeam|Refurb,"$1,299.99",$809.99,N/A,https://www.ebay.com/itm/387589546617?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006409
2025-11-09 22:53:22,N/A,N/A,$809.99,N/A,N/A
2025-11-09 22:53:22,"Bose Solo Soundbar 2 Home Theater, Certified Refurbished",$199.00,$161.00,N/A,https://www.ebay.com/itm/167031735841?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006409
2025-11-09 22:53:23,N/A,N/A,$161.00,N/A,N/A
2025-11-09 22:53:23,XGIMI HORIZON Pro 4K DLP Projector 1500 ISO Lumen HDMI Built-In Speaker,N/A,$759.00,N/A,https://www.ebay.com/itm/314659651509?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006409
2025-11-09 22:53:33,N/A,N/A,$759.00,N/A,N/A
2025-11-09 22:53:33,DJI FPV Combo - Certified Refurbished,"$1,299.00",$719.10,N/A,https://www.ebay.com/itm/305259444032?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430
2025-11-09 22:53:44,N/A,N/A,$719.10,N/A,N/A
2025-11-09 22:53:44,Refurbished Potensic ATOM Drone 3-Axis Gimbal 4K QuickShots 249g Fly More Combo,$359.00,$209.00,N/A,https://www.ebay.com/itm/286151974895?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430
2025-11-09 22:53:54,N/A,N/A,$209.00,N/A,N/A
2025-11-09 22:53:54,DJI Air 3 Fly More Pro Combo Drone- Certified Refurbished,"$1,899.00","$1,699.00",N/A,https://www.ebay.com/itm/305804968846?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430
2025-11-09 22:54:04,N/A,N/A,"$1,699.00",N/A,N/A
2025-11-09 22:54:04,DJI Intelligent Battery for Mavic Air 2 / Air 2S DJI Certified Refurbished,$89.00,$44.10,N/A,https://www.ebay.com/itm/304925251592?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430
2025-11-09 22:54:14,N/A,N/A,$44.10,N/A,N/A
2025-11-09 22:54:14,DJI Mini 4 Pro/Mini 3 Series Intelligent Battery Plus (Certified Refurbished),N/A,$71.10,N/A,https://www.ebay.com/itm/306163903380?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430
2025-11-09 22:54:24,N/A,N/A,$71.10,N/A,N/A
2025-11-09 22:54:24,"Logitech - PRO X 2 LIGHTSPEED Wireless Gaming Headset for PC, PS5, PS4,",$279.99,$119.99,N/A,https://www.ebay.com/itm/167017920229?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401
2025-11-09 22:54:34,N/A,N/A,$119.99,N/A,N/A
2025-11-09 22:54:34,"SKULLCANDY PLYR XT Gaming Headset with Mic, Purple-(Certified Refurbished)",$99.99,$51.55,N/A,https://www.ebay.com/itm/375991327361?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401
2025-11-09 22:54:45,N/A,N/A,$51.55,N/A,N/A
2025-11-09 22:54:45,"Microsoft Xbox Wireless Controller For Xbox Series X / S, Xbox One & Windows PC",$70.00,$43.49,N/A,https://www.ebay.com/itm/275287871839?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401
2025-11-09 22:54:46,N/A,N/A,$43.49,N/A,N/A
